Song Name,Artist Name,uri,Release Date,Duration (ms),Popularity
Beggin',Måneskin,spotify:track:3Wrjm47oTz2sjIgck11l5e,2017-12-08,211560,86
What Makes You Beautiful,One Direction,spotify:track:4cluDES4hQEUhmXj6TXkSo,2012-05-25,199986,85
Beat It,Michael Jackson,spotify:track:1OOtq8tRnDM8kG2gqUPjAj,2008-02-08,258040,81
Girls Just Want to Have Fun,Cyndi Lauper,spotify:track:4y1LsJpmMti1PfRQV9AWWe,1983-10-14,238266,80
Blank Space,Taylor Swift,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,2014-01-01,231826,86
Cake By The Ocean,DNCE,spotify:track:76hfruVvmfQbw0eYn1nmeC,2016-11-18,219146,82
Shape of You,Ed Sheeran,spotify:track:7qiZfU4dY1lWllzX7mPBI3,2017-03-03,233712,87
Hey Jude - Remastered 2015,The Beatles,spotify:track:0aym2LBJBk9DAYuHHutrIl,2000-11-13,425653,74
Careless Whisper,George Michael,spotify:track:4jDmJ51x1o9NZB5Nxxc7gY,1998-11-09,300106,81
Dragostea din tei,O-Zone,spotify:track:52Zr0sinhWTCRrQhRRY4EP,2004-02-23,215386,68
